x, y, z, u

(6.71539,1.60393), (8.35353,3.15608), (9.98961,5.09087), (8.43843,4.70824), (10.9983,8.94232), (8.6878,9.43958), (6.32004,9.4383), 

(6.71762,1.60393), (8.84923,3.23992), (10.1392,5.569), (8.44123,4.70824), (10.7706,9.03704), (8.63912,8.94225), (6.8202,9.39442), 

(7.14652,1.86461), (8.85216,3.23992), (10.6191,5.72026), (8.61132,5.17942), (11.2685,9.11173), (9.0918,8.72391), (6.82247,9.39442), 

(7.63559,1.97917), (9.03089,2.77184), (10.995,5.38652), (8.85383,4.7406), (11.3247,8.8673), (9.17864,8.23099), (7.21324,9.70916), 

(7.51265,1.76294), (8.88982,2.97615), (11.0292,4.88745), (9.07426,4.86388), (11.2242,9.09451), (9.62599,8.00166), (7.68485,9.53643), 

(7.51514,1.76294), (9.36494,3.14063), (11.0328,4.88745), (9.07727,4.86388), (11.2883,8.59817), (9.62919,8.00166), (8.14652,9.3384), 

(7.35714,1.57125), (9.74565,3.46838), (10.9596,5.12535), (9.08028,4.86388), (11.693,8.29953), (10.0743,7.7677), (8.54706,9.64125), 

(7.83893,1.71348), (9.74889,3.46838), (11.3977,4.87778), (9.0833,4.86388), (11.9951,8.70092), (10.1233,8.01349), (8.3008,9.66251), 

(8.20177,2.06023), (9.89798,2.99012), (11.7136,5.26836), (9.08631,4.86388), (11.999,8.70092), (10.6226,7.94975), (8.30355,9.66251), 

(8.47598,2.4801), (9.90126,2.99012), (12.2169,5.2443), (9.47725,5.17933), (12.003,8.70092), (10.6261,7.94975), (8.30631,9.66251), 

(8.87482,2.78533), (10.377,3.15369), (12.221,5.2443), (9.97797,5.22853), (12.007,8.70092), (10.8633,7.50771), (8.38679,9.16859), 

(8.87776,2.78533), (10.5528,2.68431), (12.1235,4.75472), (10.4407,5.0311), (12.2869,8.28392), (10.6368,7.95162), (8.86468,9.3244), 

(9.09746,2.33475), (10.9216,2.3429), (12.2718,5.23344), (10.4441,5.0311), (12.5407,7.85079), (10.6403,7.95162), (9.35175,9.19945), 

(9.21958,2.55456), (11.1268,1.88536), (12.2937,4.73376), (10.4476,5.0311), (12.9769,7.59904), (11.1182,8.10986), (9.67393,9.58441), 

(9.69545,2.71719), (11.1305,1.88536), (12.6959,4.43123), (10.451,5.0311), (13.4811,7.61114), (11.0009,8.59501), (10.1212,9.81419), 

